ID,Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,"CONSO(Watt)",I,"PDUOndulé","PDUNormal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FCTotal","FCCalculé","FCUtilisé","FCFutur","RJ45Total","RJ45Calculé","RJ45Utilisé","RJ45Futur","10GbpsFutur","RJ45CM","IPMI Dédié","IPMIUtilisé","IPMIFutur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
31,TPA 12,TPA12,TINA,Serveur,1,Rackable,2,DELL,PowerEdge R710,27HNP4J,570,,,,,,ATL – sauvegarde,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,5,4,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
32,TPA 12,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,GL9HYH1,440,,,,,,Stock,ATL,Déménagement,4,Stock,,,Stock--,0,0,0,0,,10,0,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
33,TPA 12,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,C27XMQ1,440,,,,,,Stock,ATL,Déménagement,4,Stock,,,Stock--,0,0,0,0,,10,0,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
34,TPA 12,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,FF7CVL1,440,,,,,,Stock,ATL,Déménagement,4,Stock,,,Stock--,0,0,0,0,,10,0,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
35,TPB -1,A venir,H-DNSRIE-CACHEPUB-PARIS02,Serveur,1,Rackable,2,DELL,,,,,,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,0,0,0,0,,4,,2,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.24,,Connection time out – ICMP NOK,?
36,TPB -1,ATL,"Dxi 6702 – EXT1, 2, 3 System Node",Baie de disques,4,Rackable,9,QUANTUM,Dxi 6702,,1260,"5,48",,,,,Sauvegarde,DOIP,Déménagement,4,S1,2,,S1-2-,4,4,4,4,,2,2,2,,2,,,0,4FC,,,,,,,-4,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.95(pas de résolution),,Je ne peux pas m'authentifier sur la machine,?
37,TPB -1,ATL,MIZAR,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,HVN5G5J,1080,"4,70",,,∞,,bureautique,ATL,Déménagement,4,S1,2,,S1-2-,0,0,0,0,,10,10,10,,10,2,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
38,TPB -1,ATL,R910-1.AUTH.RITAC.I2,Serveur,1,Rackable,4,DELL,PowerEdge R910,GF3K15J,540,"2,35",,,∞,,bureautique,ATL,Déménagement,4,S1,2,,S1-2-,0,0,0,0,,12,11,11,,4,1,,,2RJ,,4RJ,2RJ,,,,2,Err :502,4,2,Err :502,Err :502,Err :502,-,,,?
39,TPB -1,ATL,R910-2.AUTH.RITAC.I2,Serveur,1,Rackable,4,DELL,PowerEdge R910,HF3K15J,540,"2,35",,,∞,,bureautique,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,12,11,11,,4,1,,,2RJ,,4RJ,2RJ,,,,2,Err :502,4,2,Err :502,Err :502,Err :502,-,,,?
40,TPB -1,ATL,VENUSIA,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,DVGBF02,1080,"4,70",,,∞,,bureautique,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,8,10,10,,8,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
