Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,CONSO(Watt),I,PDUOndulé,PDUNormal,cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,"FCTotal","FCUtilisé","RJ45Total","RJ45Utilisé","RJ45Futur","IPMIUtilisé","IPMIFutur","RJ45CM","IPMIDédié",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,
TPB -1,CGEDD,CGEDD – SAE,Serveur,1,Tour,10,DELL,PowerEdge 840,597BB4J,420,"1,83",,,,,Singleton DG,CGEDD,A virtualiser,0,,,0,0,,1,,,,1,,,,,,,,,,,,,,
TPB -1,CGEDD,CGEDD – SIMP1,Serveur,1,Tour,10,HP,Proliant ML150G6,CZ31535E77,,"0,00",,,,,Singleton DG,CGEDD,A virtualiser,0,,,0,0,,1,,,,1,,,,,,,,,,,,,,
TPB -1,DEM1,AM1-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,8LGZ7X1,168,"0,73",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,1,,,,,,2FC,,,,,,,
TPB -1,DEM1,AM2-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,DLGZ7X1,168,"0,73",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,1,,,,,,2FC,,,,,,,
TPB -1,DEM1,AM3-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,JT2YD5J,414,"1,80",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,1,2FC,,2RJ,,,,,,,,,,
TPB -1,DEM1,AM4-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,1JLT75J,402,"1,75",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,0,,2FC,,,,,,,,,,,
TPB -1,DEM1,AM5-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,BLGZ7X1,154,"0,67",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,1,,,,,,2FC,,,,,,,
TPB -1,DEM1,AM6-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,2JLT75J,392,"1,70",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,0,,,,,1FC,1FC,,,,,,,
TPB -1,DEM1,AM8-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,6JLT75J,386,"1,68",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,2,2,,3,,,,4,0,,,,,1FC,1FC,,,,,,,
TPB -1,DEM1,H-CS-02,Serveur,1,Rackable,4,DELL,PowerEdge R900,4BHBF4J,770,"3,35",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,4,2,,6,,,,4,1,,,2FC,2FC,1RJ,1RJ,,,,,,,
