ID,Localisation,Rack,Nom du matériel,MODELE,Type,Nb Elts,Architecture,U,MARQUE,numéro de série,"CONSO (Watt)",I,"PDU Ondulé","PDU Normal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FC Total","FC Calculé","FC Utilisé","FC Futur","RJ45 Total","RJ45 Calculé","RJ45 Utilisé","RJ45 Futur","10Gbps Futur","RJ45 CM","IPMI Dédié","IPMI Utilisé","IPMI Futur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
178,TPB -1,DON 2,REHCTRL-02,DS4500,Contrôleur,1,Rackable,4,IBM,,230,"1,00",,,,,Stockage IBM,DOIP/DOIF,A dégager,0,,,,--,0,0,8,8,,2,2,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.58,,,Déclasser
281,TPB -1,RH2,REHDON-02,9117-570,Serveur,1,Rackable,4,IBM,65-BD17F,1300,"5,65",,,?,,REHUCIT,DOIP/DOIF,A dégager,0,,,,--,2,0,2,2,,2,4,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
279,TPB -1,RH2,REHDON-02-EXT,7311-D20,Serveur,1,Rackable,4,IBM,65-B034A,227,"0,99",,,,,REHUCIT,DOIP/DOIF,A dégager,0,,,,--,4,0,4,4,,2,0,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
272,TPB -1,RH1,REHDON01,9117-570,Serveur,1,Rackable,4,IBM,65-BD1DF,1300,"5,65",,,,,REHUCIT,DOIP/DOIF,A dégager,0,,,,--,2,2,2,2,,4,3,3,,1,2,1,1,1RJ,1FC,1RJ,1RJ,1FC,,,1,-1,1,1,-1,Err :502,Err :502,-,,?,?
273,TPB -1,RH1,REHDON01-EXT,7311-D20,Serveur,1,Rackable,4,IBM,65-B035A,227,"0,99",,,,,REHUCIT,DOIP/DOIF,A dégager,0,,,,--,4,4,4,4,,2,0,0,,2,0,0,0,1FC,,1FC,,1FC,,1FC,-1,Err :502,-1,Err :502,-1,Err :502,-1,-,,?,?
274,TPB -1,RH1,REHHMC-01,Xseries 336,Serveur,1,Rackable,5,IBM,65-9615A,585,"2,54",,,?,,REHUCIT,DOIP/DOIF,A dégager,0,,,,--,0,0,0,0,,1,1,,,1,,1,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
280,TPB -1,RH2,REHHMC-02,Xseries 336,Serveur,1,Rackable,5,IBM,65-9613A,585,"2,54",,,?,,REHUCIT,DOIP/DOIF,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
172,TPB -1,DON 1,rehsan1,4100,SAN,1,Rackable,1,Brocade,,,,,,∞,,Commutateur SAN,DOIP,A dégager,0,,,,--,0,0,0,0,,1,,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.51,,,Déclasser
173,TPB -1,DON 1,rehsan2,4100,SAN,1,Rackable,1,Brocade,,,,,,∞,,Commutateur SAN,DOIP,A dégager,0,,,,--,0,0,0,0,,1,,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.52,,,Déclasser
206,TPB -1,ETAGERES,Robot CGEDD,PowerVault 124T,Librairie,1,Rackable,2,DELL,,,"0,00",,,,,Singleton DG,CGEDD,A dégager,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
